checking_status,duration,credit_amount,savings_status,employment,installment_commitment,residence_since,age,existing_credits,num_dependents,own_telephone,foreign_worker,class
0,48,4308,0,0,3,4,24,1,1,0,1,bad
0,12,727,300,0,4,3,33,1,1,1,1,bad
100,15,802,0,7,4,3,37,1,2,0,1,bad
200,21,2319,0,0,2,1,33,1,1,0,1,bad
100,12,951,300,0,4,4,27,4,1,0,1,bad
0,18,1864,300,2.5,4,2,30,2,1,0,1,bad
100,24,4113,750,0,3,4,28,1,1,0,1,bad
0,18,1345,0,2.5,4,3,26,1,1,0,1,bad
0,24,1207,0,0,4,4,24,1,1,0,1,bad
0,9,1366,0,0,3,4,22,1,1,0,1,bad
0,24,1193,0,0,1,4,29,2,1,0,1,bad
0,18,6458,0,7,2,4,39,2,2,1,1,bad
100,15,802,0,7,4,3,37,1,2,0,1,bad
100,12,1223,0,7,1,1,46,2,1,0,1,bad
100,27,2520,750,2.5,4,2,23,2,1,0,1,bad
100,24,2064,0,0,3,2,34,1,1,1,1,bad
100,36,2671,300,2.5,4,4,50,1,1,0,1,bad
100,30,4249,0,0,4,2,28,2,1,0,1,bad
100,48,6416,0,7,4,3,59,1,1,0,1,bad
0,12,795,0,0,4,4,53,1,1,0,1,bad
100,54,15945,0,0,3,4,58,1,1,1,1,bad
0,24,2996,0,2.5,2,4,20,1,1,0,1,bad
100,72,5595,300,2.5,2,2,24,1,1,0,1,bad
0,18,4153,0,2.5,2,3,42,1,1,0,1,bad
0,18,1190,0,0,2,4,55,3,2,0,1,bad
0,21,1835,0,2.5,3,2,25,2,1,1,1,bad
0,15,3959,0,2.5,3,2,29,1,1,1,1,bad
100,45,4746,0,0,4,2,25,2,1,0,1,bad
0,24,1207,0,0,4,4,24,1,1,0,1,bad
0,12,697,0,0,4,2,46,2,1,1,1,bad
200,9,745,0,2.5,3,2,28,1,1,0,1,bad
0,15,3959,0,2.5,3,2,29,1,1,1,1,bad
100,24,11560,0,2.5,1,4,23,2,1,0,1,bad
0,18,6458,0,7,2,4,39,2,2,1,1,bad
0,9,1980,0,0,2,2,19,2,1,0,1,bad
0,42,3965,0,0,4,3,34,1,1,0,1,bad
100,12,1534,0,0,1,1,23,1,1,0,1,bad
100,8,1237,0,2.5,3,4,24,1,1,0,1,bad
0,6,3384,0,2.5,1,4,44,1,1,1,1,bad
0,18,2775,0,5.5,2,2,31,2,1,0,1,bad
0,18,1553,0,2.5,4,3,44,1,1,0,1,bad
100,24,2039,0,0,1,1,22,1,1,1,1,bad
100,36,2820,0,0,4,4,27,2,1,0,1,bad
100,24,1935,0,7,4,4,31,2,1,1,1,bad
0,24,3349,750,0,4,4,30,1,2,1,1,bad
100,24,11938,0,2.5,2,3,39,2,2,1,1,bad
0,45,11816,0,7,2,4,29,2,1,0,1,bad
0,48,6758,0,2.5,3,2,31,1,1,1,1,bad
100,39,4933,0,5.5,2,2,25,2,1,0,1,bad
100,36,4455,0,2.5,2,2,30,2,1,1,1,bad
100,48,6560,300,5.5,3,2,24,1,1,0,1,bad
0,24,1371,0,2.5,4,4,25,1,1,0,1,bad
0,24,3349,750,0,4,4,30,1,2,1,1,bad
0,18,1190,0,0,2,4,55,3,2,0,1,bad
0,18,3114,0,0,1,4,26,1,1,0,1,bad
200,30,1908,0,7,4,4,66,1,1,1,1,bad
100,24,4736,0,0,2,4,25,1,1,0,1,bad
100,18,1245,0,2.5,4,2,33,1,1,0,1,bad
100,36,12612,300,2.5,1,4,47,1,2,1,1,bad
0,42,7174,0,5.5,4,3,30,1,1,1,1,bad
0,45,1845,0,2.5,4,4,23,1,1,1,1,bad
100,18,2278,300,0,3,3,28,2,1,0,1,bad
100,60,14782,300,7,3,4,60,2,1,1,1,bad
100,24,3092,300,0,3,2,22,1,1,1,1,bad
0,30,11998,0,0,1,1,34,1,1,1,1,bad
0,42,7174,0,5.5,4,3,30,1,1,1,1,bad
0,10,2210,0,2.5,2,2,25,1,1,0,1,bad
0,12,1282,0,2.5,2,4,20,1,1,0,1,bad
0,18,433,0,0,3,4,22,1,1,0,1,bad
100,48,15672,0,2.5,2,2,23,1,1,1,1,bad
100,9,918,0,2.5,4,1,30,1,1,0,1,bad
100,48,6560,300,5.5,3,2,24,1,1,0,1,bad
0,12,1082,0,2.5,4,4,48,2,1,0,1,bad
0,36,7980,0,0,4,4,27,2,1,1,1,bad
0,18,1345,0,2.5,4,3,26,1,1,0,1,bad
0,18,2775,0,5.5,2,2,31,2,1,0,1,bad
0,18,3966,0,7,1,4,33,3,1,1,1,bad
0,9,1980,0,0,2,2,19,2,1,0,1,bad
0,48,6331,0,7,4,4,46,2,1,1,1,bad
200,18,2864,0,2.5,2,1,34,1,2,0,1,bad
0,36,1977,0,7,4,4,40,1,1,1,1,bad
100,45,3031,300,2.5,4,4,21,1,1,0,1,bad
0,18,2600,0,2.5,4,4,65,2,1,0,1,bad
100,48,6416,0,7,4,3,59,1,1,0,1,bad
100,15,2631,300,2.5,2,4,28,2,1,1,1,bad
0,36,7980,0,0,4,4,27,2,1,1,1,bad
0,18,1808,0,5.5,4,1,22,1,1,0,1,bad
100,48,6560,300,5.5,3,2,24,1,1,0,1,bad
200,15,2327,0,0,2,3,25,1,1,0,1,bad
100,8,1237,0,2.5,3,4,24,1,1,0,1,bad
100,48,3060,0,5.5,4,4,28,2,1,0,1,bad
0,24,915,0,7,4,2,29,1,1,0,1,bad
0,12,674,300,5.5,4,1,20,1,1,0,1,bad
0,36,9629,0,5.5,4,4,24,2,1,1,1,bad
0,30,3108,0,0,2,4,31,1,1,0,1,bad
0,24,3123,0,0,4,1,27,1,1,0,1,bad
0,48,7763,0,7,4,4,42,1,1,0,1,bad
0,24,4591,1000,2.5,2,3,54,3,1,1,1,bad
0,27,2570,0,2.5,3,3,21,1,1,0,1,bad
0,12,902,0,5.5,4,4,21,1,1,0,1,bad
100,39,4933,0,5.5,2,2,25,2,1,0,1,bad
100,18,1245,0,2.5,4,2,33,1,1,0,1,bad
0,30,7485,0,0,4,1,53,1,1,1,1,bad
100,72,5595,300,2.5,2,2,24,1,1,0,1,bad
0,18,3190,0,2.5,2,2,24,1,1,0,1,bad
0,48,11590,300,2.5,2,4,24,2,1,0,1,bad
0,36,9629,0,5.5,4,4,24,2,1,1,1,bad
0,24,1938,0,0,4,3,32,1,1,0,1,bad
0,21,5003,0,2.5,1,4,29,2,1,1,1,bad
0,9,1366,0,0,3,4,22,1,1,0,1,bad
0,24,3621,300,7,2,4,31,2,1,0,1,bad
100,30,3441,300,2.5,2,4,21,1,1,0,1,bad
100,54,15945,0,0,3,4,58,1,1,1,1,bad
0,12,2149,0,2.5,4,1,29,1,1,0,1,bad
0,24,1285,0,5.5,4,4,32,1,1,0,1,bad
0,12,1282,0,2.5,2,4,20,1,1,0,1,bad
0,9,1422,0,0,3,2,27,1,1,1,1,bad
100,9,1501,0,7,2,3,34,2,1,1,1,bad
100,48,10961,1000,5.5,1,2,27,2,1,1,1,bad
0,36,3446,0,7,4,2,42,1,2,0,1,bad
100,27,2520,750,2.5,4,2,23,2,1,0,1,bad
0,18,750,0,0,4,1,27,1,1,0,1,bad
0,36,2712,0,7,2,2,41,1,2,0,1,bad
0,12,1555,1000,7,4,4,55,2,2,0,1,bad
100,36,9398,0,0,1,4,28,1,1,1,1,bad
100,15,1512,1000,2.5,3,3,61,2,1,0,1,bad
0,18,6458,0,7,2,4,39,2,2,1,1,bad
100,12,1331,0,0,2,1,22,1,1,0,1,bad
100,36,2671,300,2.5,4,4,50,1,1,0,1,bad
100,15,802,0,7,4,3,37,1,2,0,1,bad
0,48,7685,0,5.5,2,4,37,1,1,0,1,bad
0,6,4611,0,0,1,4,32,1,1,0,1,bad
0,12,1082,0,2.5,4,4,48,2,1,0,1,bad
0,27,2570,0,2.5,3,3,21,1,1,0,1,bad
0,60,6836,0,7,3,4,63,2,1,1,1,bad
200,21,2319,0,0,2,1,33,1,1,0,1,bad
0,24,1285,0,5.5,4,4,32,1,1,0,1,bad
100,48,18424,0,2.5,1,2,32,1,1,1,0,bad
0,24,3161,0,2.5,4,2,31,1,1,1,1,bad
200,30,1908,0,7,4,4,66,1,1,1,1,bad
0,36,10974,0,0,4,2,26,2,1,1,1,bad
0,24,1987,0,2.5,2,4,21,1,2,0,1,bad
0,18,1442,0,5.5,4,4,32,2,2,0,1,bad
0,48,6758,0,2.5,3,2,31,1,1,1,1,bad
0,18,4153,0,2.5,2,3,42,1,1,0,1,bad
0,12,1274,0,0,3,1,37,1,1,0,1,bad
0,36,9271,0,5.5,2,1,24,1,1,1,1,bad
0,36,8335,0,7,3,4,47,1,1,0,1,bad
100,60,14027,0,5.5,4,2,27,1,1,1,1,bad
100,6,931,300,0,1,1,32,1,1,0,1,bad
0,18,1864,300,2.5,4,2,30,2,1,0,1,bad
100,48,6560,300,5.5,3,2,24,1,1,0,1,bad
100,27,3915,0,2.5,4,2,36,1,2,1,1,bad
0,12,741,300,0,4,3,22,1,1,0,1,bad
100,6,14555,0,0,1,2,23,1,1,1,1,bad
100,30,2150,0,2.5,4,2,24,1,1,0,1,bad
0,24,1546,0,5.5,4,4,24,1,1,0,1,bad
0,15,1275,0,2.5,4,2,24,1,1,0,1,bad
0,18,2039,0,2.5,1,4,20,1,1,0,1,bad
0,18,4153,0,2.5,2,3,42,1,1,0,1,bad
0,30,6350,0,7,4,4,31,1,1,0,1,bad
0,24,1659,0,0,4,2,29,1,1,1,1,bad
0,6,3384,0,2.5,1,4,44,1,1,1,1,bad
100,9,5129,0,7,2,4,74,1,2,1,1,bad
0,36,1819,0,2.5,4,4,37,1,1,1,1,bad
0,12,741,300,0,4,3,22,1,1,0,1,bad
0,36,2746,0,7,4,4,31,1,1,0,1,bad
100,6,433,1000,0,4,2,24,1,2,0,1,bad
0,24,1442,0,5.5,4,4,23,2,1,0,1,bad
0,18,2775,0,5.5,2,2,31,2,1,0,1,bad
100,27,8318,0,7,2,4,42,2,1,1,1,bad
0,18,1864,300,2.5,4,2,30,2,1,0,1,bad
0,18,2600,0,2.5,4,4,65,2,1,0,1,bad
100,12,2762,0,7,1,2,25,1,1,1,1,bad
0,21,1835,0,2.5,3,2,25,2,1,1,1,bad
